iter	RMSE
0	14.73136796
1	14.35019264
2	13.95157402
3	13.5854473
4	13.24280388
5	12.9281694
6	12.61974708
7	12.32779468
8	12.03961788
9	11.74512021
10	11.45477303
11	11.21139142
12	10.99414512
13	10.75217001
14	10.51365712
15	10.27476693
16	10.0527229
17	9.846854571
18	9.635526399
19	9.462467824
20	9.290002498
21	9.120453533
22	8.946949805
23	8.782800049
24	8.626705521
25	8.491122895
26	8.35383763
27	8.221359732
28	8.088532618
29	7.949538484
30	7.843457462
31	7.715083998
32	7.607745358
33	7.507709202
34	7.401587982
35	7.303670562
36	7.213540871
37	7.125735809
38	7.043991629
39	6.962409948
40	6.894269105
41	6.824537811
42	6.748015174
43	6.686876539
44	6.618783057
45	6.56029323
46	6.497010239
47	6.439749932
48	6.378174397
49	6.327219328
50	6.276612649
51	6.218465259
52	6.171272159
53	6.123152614
54	6.081964199
55	6.038995346
56	5.996661951
57	5.958508346
58	5.921682187
59	5.889476557
60	5.854890653
61	5.821478099
62	5.792762161
63	5.76196172
64	5.733496616
65	5.705669424
66	5.677606639
67	5.651443547
68	5.629827031
69	5.608239174
70	5.583493767
71	5.563738589
72	5.540103824
73	5.520882414
74	5.499041963
75	5.481705907
76	5.464975571
77	5.450141122
78	5.431388975
79	5.416631947
80	5.402779768
81	5.386791776
82	5.372061401
83	5.358329156
84	5.341357933
85	5.323266045
86	5.307309592
87	5.295865541
88	5.281062454
89	5.269003946
90	5.254530465
91	5.244048704
92	5.230600201
93	5.224108298
94	5.213802654
95	5.202477481
96	5.192484652
97	5.180281453
98	5.172529085
99	5.164162969
100	5.153522445
101	5.144999032
102	5.136717818
103	5.124632956
104	5.116589263
105	5.104987289
106	5.097382952
107	5.091459747
108	5.083359831
109	5.076052148
110	5.0744311
111	5.066873139
112	5.059944313
113	5.053935654
114	5.050033642
115	5.048126547
116	5.042008732
117	5.0395909
118	5.033349145
119	5.027948815
120	5.020171177
121	5.01497223
122	5.008487439
123	5.007716982
124	5.002674994
125	4.997475053
126	4.994548314
127	4.988650134
128	4.983928943
129	4.976455922
130	4.970808643
131	4.969473236
132	4.961856383
133	4.956550988
134	4.953782538
135	4.949248165
136	4.945486142
137	4.940696009
138	4.936088664
139	4.930688831
140	4.930165841
141	4.921934057
142	4.91634558
143	4.913463245
144	4.910267424
145	4.90401109
146	4.897669364
147	4.891800984
148	4.887227017
149	4.884941795
150	4.8759181
151	4.871826652
152	4.866056689
153	4.859631148
154	4.854686123
155	4.851541812
156	4.845112142
157	4.841321993
158	4.835171228
159	4.832461523
160	4.82797955
161	4.820369626
162	4.815738191
163	4.808055457
164	4.804647031
165	4.802009225
166	4.79789993
167	4.792799357
168	4.790536038
169	4.786350599
170	4.784553451
171	4.781735522
172	4.775240313
173	4.769883292
174	4.763961772
175	4.757573114
176	4.752560351
177	4.746891851
178	4.742643468
179	4.738184217
180	4.731942101
181	4.726550503
182	4.723541197
183	4.720798388
184	4.716044423
185	4.709360842
186	4.705485512
187	4.701432229
188	4.697720368
189	4.692208893
190	4.689956469
191	4.686612995
192	4.681252198
193	4.677701976
194	4.675260949
195	4.668818644
196	4.666273853
197	4.661778549
198	4.660146782
199	4.65608516
200	4.650573131
201	4.64729371
202	4.645400284
203	4.641051041
204	4.636756145
205	4.63072616
206	4.628885119
207	4.62503962
208	4.617441348
209	4.615285804
210	4.612342929
211	4.609451192
212	4.60432513
213	4.601636581
214	4.597302481
215	4.594551759
216	4.589413163
217	4.585002873
218	4.582560033
219	4.579515382
220	4.574553369
221	4.568356009
222	4.566414438
223	4.560902381
224	4.559580648
225	4.552608532
226	4.548021368
227	4.542574447
228	4.540890998
229	4.538388742
230	4.535630017
231	4.530167889
232	4.526675125
233	4.521832838
234	4.515785364
235	4.510783292
236	4.506141803
237	4.503670364
238	4.501894043
239	4.500801775
240	4.497827187
241	4.495179301
242	4.493424855
243	4.488687748
244	4.482748164
245	4.474785664
246	4.473907082
247	4.467896134
248	4.464413227
249	4.458206149
250	4.454942035
251	4.449381075
252	4.44525425
253	4.438851267
254	4.435655257
255	4.433278789
256	4.42872775
257	4.427559938
258	4.422452049
259	4.420283768
260	4.417110551
261	4.413935462
262	4.412353787
263	4.410110255
264	4.407549631
265	4.403213928
266	4.400077845
267	4.399179273
268	4.394100114
269	4.393006698
270	4.388627896
271	4.386081867
272	4.383878956
273	4.380071834
274	4.375310328
275	4.374374518
276	4.372833253
277	4.368847639
278	4.364772701
279	4.357789412
280	4.356800626
281	4.355781016
282	4.353366548
283	4.349165416
284	4.345018948
285	4.342658619
286	4.339898664
287	4.339045241
288	4.334770162
289	4.330101906
290	4.32368215
291	4.319281367
292	4.314697366
293	4.310673752
294	4.309176683
295	4.307750001
296	4.303871413
297	4.296907979
298	4.291679254
299	4.288775907
300	4.28535142
301	4.280117978
302	4.276572533
303	4.272990908
304	4.27013002
305	4.263275129
306	4.260654529
307	4.25738801
308	4.253490188
309	4.248127889
310	4.24286099
311	4.240430223
312	4.23491148
313	4.233951442
314	4.231447486
315	4.229768057
316	4.227699394
317	4.224200974
318	4.218867077
319	4.21538108
320	4.214611334
321	4.213755979
322	4.210756477
323	4.207708784
324	4.201773332
325	4.2006467
326	4.19690764
327	4.193557418
328	4.189009352
329	4.188108678
330	4.185859682
331	4.185014469
332	4.182310157
333	4.179101902
334	4.172170025
335	4.17107875
336	4.167898512
337	4.163823509
338	4.160572885
339	4.157409003
340	4.155701754
341	4.152828517
342	4.152318087
343	4.150421352
344	4.147170798
345	4.143769599
346	4.140516699
347	4.138413379
348	4.136273005
349	4.133208665
350	4.130217215
351	4.125990822
352	4.121997477
353	4.119595207
354	4.117240457
355	4.116499412
356	4.112948337
357	4.108607407
358	4.104172234
359	4.101840339
360	4.097257314
361	4.091517717
362	4.088169683
363	4.082231896
364	4.082105627
365	4.078465671
366	4.07428323
367	4.069355686
368	4.068686309
369	4.0650843
370	4.062484802
371	4.056902428
372	4.054793757
373	4.050545655
374	4.045697037
375	4.04079158
376	4.038622012
377	4.035312218
378	4.032849928
379	4.03034017
380	4.028004421
381	4.026067253
382	4.022859513
383	4.020288099
384	4.020238219
385	4.017856273
386	4.013882502
387	4.010905795
388	4.004919929
389	4.00248532
390	4.001602474
391	4.000119944
392	3.995644728
393	3.993233292
394	3.992432799
395	3.991873333
396	3.989114297
397	3.984652835
398	3.979463725
399	3.975516925
400	3.974198216
401	3.970370873
402	3.969310214
403	3.966465024
404	3.965166272
405	3.963246491
406	3.960294155
407	3.959243055
408	3.957377662
409	3.952442159
410	3.951688056
411	3.951135352
412	3.948278107
413	3.946411933
414	3.942970883
415	3.941751978
416	3.938743443
417	3.933877786
418	3.931246227
419	3.927247218
420	3.923028126
421	3.921515734
422	3.92099946
423	3.918442461
424	3.914165818
425	3.91305932
426	3.908583206
427	3.905816544
428	3.903636329
429	3.90078041
430	3.897364426
431	3.894719055
432	3.893689051
433	3.891565654
434	3.890171697
435	3.886910086
436	3.883427108
437	3.880163189
438	3.876138226
439	3.871299341
440	3.867664167
441	3.866034453
442	3.86446538
443	3.861178801
444	3.858148495
445	3.853250007
446	3.850520308
447	3.849348409
448	3.846240661
449	3.846164202
450	3.845454852
451	3.84258631
452	3.841801555
453	3.839636673
454	3.836935331
455	3.833381828
456	3.832105678
457	3.82823659
458	3.825794498
459	3.822797091
460	3.817543377
461	3.814897913
462	3.812072872
463	3.809454843
464	3.805998042
465	3.801827615
466	3.796435154
467	3.794679625
468	3.790116666
469	3.788284622
470	3.786266003
471	3.785640852
472	3.783698077
473	3.782544283
474	3.780973099
475	3.779088574
476	3.777935259
477	3.776387922
478	3.774194027
479	3.770108237
480	3.766331865
481	3.762125612
482	3.758591843
483	3.754552685
484	3.750648353
485	3.747291674
486	3.746463884
487	3.744362335
488	3.743833582
489	3.742379291
490	3.73847541
491	3.737875617
492	3.7362284
493	3.732478901
494	3.728362549
495	3.723927758
496	3.723498852
497	3.721462067
498	3.719412939
499	3.715377689
500	3.714966211
501	3.713395202
502	3.711389149
503	3.706801436
504	3.705725291
505	3.704992421
506	3.704175406
507	3.70205301
508	3.698834802
509	3.694539495
510	3.693793207
511	3.691573428
512	3.687090541
513	3.682862823
514	3.679232317
515	3.676204964
516	3.674171539
517	3.674034371
518	3.673620759
519	3.670486321
520	3.668405937
521	3.666978953
522	3.66632792
523	3.663827526
524	3.660382128
525	3.658187309
526	3.655294401
527	3.65321729
528	3.651591145
529	3.651148862
530	3.648763724
531	3.646413706
532	3.643280909
533	3.640024833
534	3.635827119
535	3.632308427
536	3.631275988
537	3.627826209
538	3.626109078
539	3.624326777
540	3.62223049
541	3.621304042
542	3.618398693
543	3.614436034
544	3.612924818
545	3.611296376
546	3.610315794
547	3.608521069
548	3.605429951
549	3.60470362
550	3.601597268
551	3.598349823
552	3.596090613
553	3.594229502
554	3.591824166
555	3.589070893
556	3.585731934
557	3.58371068
558	3.58084383
559	3.579040154
560	3.57562787
561	3.575159532
562	3.573079217
563	3.5728566
564	3.571847548
565	3.569603261
566	3.569116198
567	3.56629789
568	3.563434096
569	3.5615336
570	3.560568363
571	3.558343862
572	3.557467645
573	3.555218898
574	3.553714954
575	3.551857681
576	3.551334221
577	3.548192402
578	3.545615293
579	3.542447392
580	3.541427988
581	3.537876689
582	3.533748527
583	3.532070009
584	3.530285208
585	3.527555909
586	3.525159234
587	3.522456255
588	3.522367885
589	3.520033049
590	3.518581854
591	3.517910481
592	3.516031315
593	3.512280307
594	3.508893504
595	3.507113026
596	3.504777797
597	3.504182629
598	3.502896539
599	3.501896014
600	3.498115939
601	3.496005938
602	3.494249227
603	3.492059457
604	3.491380549
605	3.491047907
606	3.490399141
607	3.487735762
608	3.484963396
609	3.483063806
610	3.481555152
611	3.479295168
612	3.478188053
613	3.47631906
614	3.474754071
615	3.472179354
616	3.469487365
617	3.466437062
618	3.463931766
619	3.462302018
620	3.459569082
621	3.457015563
622	3.453291298
623	3.452044786
624	3.449884515
625	3.446949482
626	3.444779136
627	3.441993594
628	3.439837358
629	3.438582349
630	3.436863353
631	3.436434917
632	3.436208996
633	3.434726984
634	3.432613855
635	3.431505039
636	3.42998272
637	3.429114609
638	3.425915832
639	3.42413043
640	3.422621121
641	3.419674198
642	3.418739581
643	3.418150793
644	3.415798314
645	3.413274915
646	3.412429808
647	3.410969483
648	3.409565199
649	3.407891387
650	3.40679573
651	3.405723833
652	3.405283968
653	3.404796878
654	3.403946771
655	3.402073828
656	3.39920417
657	3.398184374
658	3.396116866
659	3.39473631
660	3.392174674
661	3.391822948
662	3.390216087
663	3.388220766
664	3.384800935
665	3.383520273
666	3.380740993
667	3.376725942
668	3.374336727
669	3.371473645
670	3.369345072
671	3.36766086
672	3.366009745
673	3.36522395
674	3.364040327
675	3.36144326
676	3.357746081
677	3.355360233
678	3.351809783
679	3.351378674
680	3.34887409
681	3.346930795
682	3.346286466
683	3.346087128
684	3.343857857
685	3.341061001
686	3.338904448
687	3.33737043
688	3.334536826
689	3.332369457
690	3.332016566
691	3.330110727
692	3.32857018
693	3.326528028
694	3.325641218
695	3.323129796
696	3.321441068
697	3.319358002
698	3.319310801
699	3.317902469
700	3.316819181
701	3.316509508
702	3.315291373
703	3.314183695
704	3.31333076
705	3.312505979
706	3.310691317
707	3.310197815
708	3.309074209
709	3.307742565
710	3.30666717
711	3.304821646
712	3.3035506
713	3.30202575
714	3.298542663
715	3.298090215
716	3.296363829
717	3.293788752
718	3.293057139
719	3.291366981
720	3.290550068
721	3.289219088
722	3.286274289
723	3.284662972
724	3.284154943
725	3.283371013
726	3.282419593
727	3.28216308
728	3.281573318
729	3.280844976
730	3.279250953
731	3.278957397
732	3.276335271
733	3.273814763
734	3.272951914
735	3.272638397
736	3.271757435
737	3.269656734
738	3.268134636
739	3.267588962
740	3.265390813
741	3.264473643
742	3.263411226
743	3.262067878
744	3.260795244
745	3.260664755
746	3.259372689
747	3.258224554
748	3.256971132
749	3.256922294
750	3.255178378
751	3.253882298
752	3.252860685
753	3.249898228
754	3.246887369
755	3.244205478
756	3.241386984
757	3.237476605
758	3.234651706
759	3.231990223
760	3.229995994
761	3.229531246
762	3.229330406
763	3.22701654
764	3.226169157
765	3.226109405
766	3.224248414
767	3.222178277
768	3.220018912
769	3.219415633
770	3.217893332
771	3.215049569
772	3.214336102
773	3.212070809
774	3.210637643
775	3.20870981
776	3.207298059
777	3.20471301
778	3.202806315
779	3.19999308
780	3.199815631
781	3.198710926
782	3.197600758
783	3.193870668
784	3.190604996
785	3.190396718
786	3.189048683
787	3.186938004
788	3.184479712
789	3.182182051
790	3.180740873
791	3.179183763
792	3.178234373
793	3.177046975
794	3.175797864
795	3.175281314
796	3.174176289
797	3.173210098
798	3.170881085
799	3.169631659
800	3.167367634
801	3.166486514
802	3.164850413
803	3.162950105
804	3.162011824
805	3.159919358
806	3.159865479
807	3.15870536
808	3.157507485
809	3.156350897
810	3.155580958
811	3.155383791
812	3.153670966
813	3.150943459
814	3.149203692
815	3.14651952
816	3.144881424
817	3.142523464
818	3.139438941
819	3.135360532
820	3.134893508
821	3.134594749
822	3.133822075
823	3.133788186
824	3.132040735
825	3.13176691
826	3.130407766
827	3.12786462
828	3.125401706
829	3.123313162
830	3.122349272
831	3.121593697
832	3.12066935
833	3.118261672
834	3.116671567
835	3.114082665
836	3.11197702
837	3.110491449
838	3.108713897
839	3.107320568
840	3.107040973
841	3.105890089
842	3.104466236
843	3.10210681
844	3.100131031
845	3.097009324
846	3.095153098
847	3.093739384
848	3.0925211
849	3.091575818
850	3.089625612
851	3.087268521
852	3.08563498
853	3.083868914
854	3.083325272
855	3.082966179
856	3.081209987
857	3.079973793
858	3.077808908
859	3.076870118
860	3.075173111
861	3.074190538
862	3.072181091
863	3.07130059
864	3.070853906
865	3.070356933
866	3.069565772
867	3.068102916
868	3.06518894
869	3.064012892
870	3.062092695
871	3.061018459
872	3.060299934
873	3.058419117
874	3.05747876
875	3.055683463
876	3.05432346
877	3.053461559
878	3.05316623
879	3.051219531
880	3.049104303
881	3.049049916
882	3.048137861
883	3.046691828
884	3.044763121
885	3.043278106
886	3.043125727
887	3.042022288
888	3.041127514
889	3.038887886
890	3.036550392
891	3.034952569
892	3.032931187
893	3.031882221
894	3.031046909
895	3.029128973
896	3.02775964
897	3.027175476
898	3.02697483
899	3.023166631
900	3.020895521
901	3.019316322
902	3.017081709
903	3.013988326
904	3.01391532
905	3.011576058
906	3.009911644
907	3.007093458
908	3.006462779
909	3.006273932
910	3.006043665
911	3.004725434
912	3.004108777
913	3.003166807
914	3.003023994
915	3.001629451
916	2.998778074
917	2.997047343
918	2.996089756
919	2.994525464
920	2.992109183
921	2.990462775
922	2.990372315
923	2.985823007
924	2.985219017
925	2.985137779
926	2.983549604
927	2.981701837
928	2.980615923
929	2.980551975
930	2.978448416
931	2.976278785
932	2.975052827
933	2.973771284
934	2.973310825
935	2.970526097
936	2.968202869
937	2.964744238
938	2.962689781
939	2.962249987
940	2.961065877
941	2.959990494
942	2.959561457
943	2.959399233
944	2.958272812
945	2.957200518
946	2.956471074
947	2.956414431
948	2.954783444
949	2.952090177
950	2.949235903
951	2.946876231
952	2.944566019
953	2.943483864
954	2.941886222
955	2.941182034
956	2.940862085
957	2.939172164
958	2.937250736
959	2.935875287
960	2.935350484
961	2.934260817
962	2.933902923
963	2.930877201
964	2.930035246
965	2.927896553
966	2.92581193
967	2.924171826
968	2.923799005
969	2.921718245
970	2.919985584
971	2.917932096
972	2.916931012
973	2.915793794
974	2.915782074
975	2.913960465
976	2.911655986
977	2.911277346
978	2.909969776
979	2.9084513
980	2.90654964
981	2.903877359
982	2.901586745
983	2.900715956
984	2.89966594
985	2.898310762
986	2.896476053
987	2.894526118
988	2.892803607
989	2.891614369
990	2.891494376
991	2.891303944
992	2.890614287
993	2.889586013
994	2.888165565
995	2.887153208
996	2.887131136
997	2.885136298
998	2.884466903
999	2.884064732
